#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:59:35      0   713     6    33    15     0     0
 11:59:36      0   713     6    26    12     0     0
 11:59:37      0   713     6    17     8     0     0
 11:59:38      0   713     6    31    15     0     0
 11:59:39      0   710     6    30    15     0     0
 11:59:40      0   701     6    31    15     0     0
 11:59:41      0   696     6    31    15     0     0
 11:59:42      0   696     6    30    15     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:59:43      0   696     6    31    15     0     0
 11:59:44      0   696     6    31    15     0     0
 11:59:45      0   696     6    31    15     0     0
 11:59:46      0   696     6    32    15     0     0
 11:59:47      0   696     6    31    15     0     0
 11:59:48      0   696     6    31    15     0     0
 11:59:49      0   696     6    31    15     0     0
 11:59:50      0   696     6    31    15     0     0
 11:59:51      0   696     6    31    15     0     0
 11:59:52      0   382     6    31    15     0     0
 11:59:53      0   382     6    34    17     0     0
 11:59:54      0   382     6    30    15     0     0
 11:59:55      0   381     6    31    15     0     0
 11:59:56      0   381     6    31    14     0     0
 11:59:57      0   381     6    31    15     0     0
 11:59:58      0   382     6    31    15     0     0
 11:59:59      0   382     6    31    15     0     0
 12:00:01      0   382     6    31    15     0     0
 12:00:02      0   382     6    31    15     0     0
 12:00:03      0   382     6    31    15     0     0
 12:00:04      0   382     6    31    15     0     0
 12:00:05      0   382     6    31    15     0     0
 12:00:06      0   382     6    31    15     0     0
 12:00:07      0   382     6    31    15     0     0
 12:00:08      0   382     6    31    15     0     0
 12:00:09      0   381     6    31    15     0     0
 12:00:10      0   381     6    31    15     0     0
 12:00:11      0   381     6    31    15     0     0
 12:00:12      0   382     6    30    14     0     0
 12:00:13      0   382     6    31    15     0     0
 12:00:14      0   382     6    31    15     0     0
 12:00:15      0   382     6    31    15     0     0
 12:00:16      0   382     6    31    15     0     0
 12:00:17      0   381     6    31    15     0     0
 12:00:18      0   381     6    31    15     0     0
 12:00:19      0   381     6    31    15     0     0
 12:00:20      0   381     6    31    15     0     0
 12:00:21      0   381     6    31    15     0     0
 12:00:22      0   381     6    31    15     0     0
 12:00:23      0   381     6    30    15     0     0
 12:00:24      0   381     6    31    15     0     0
 12:00:25      0   381     6    31    15     0     0
 12:00:26      0   381     6    31    15     0     0
 12:00:27      0   382     6    31    15     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:00:28      0   382     6    31    15     0     0
 12:00:29      0   382     6    31    15     0     0
 12:00:30      0   382     6    31    15     0     0
 12:00:31      0   382     6    31    15     0     0
 12:00:32      0   382     6    31    15     0     0
 12:00:33      0   382     6    32    15     0     0
 12:00:34      0   382     6    30    15     0     0
 12:00:35      0   382     6    31    15     0     0
 12:00:36      0   382     6    31    15     0     0
 12:00:37      0   382     6    31    15     0     0
 12:00:38      0   381     6    31    15     0     0
 12:00:39      0   381     6    31    15     0     0
 12:00:40      0   381     6    31    15     0     0
 12:00:41      0   381     6    31    15     0     0
 12:00:42      0   382     6    31    15     0     0
 12:00:43      0   382     6    32    15     0     0
 12:00:44      0   382     6    31    15     0     0
 12:00:45      0   382     6    31    15     0     0
 12:00:46      0   382     6    31    15     0     0
 12:00:47      0   381     6    31    15     0     0
 12:00:48      0   381     6    31    15     0     0
 12:00:49      0   381     6    31    15     0     0
 12:00:50      0   381     6    31    15     0     0
 12:00:51      0   381     6    31    15     0     0
 12:00:52      0   381     6    31    15     0     0
 12:00:53      0   381     6    31    15     0     0
 12:00:54      0   381     6    31    15     0     0
 12:00:55      0   382     6    31    15     0     0
 12:00:56      0   382     6    31    15     0     0
 12:00:57      0   382     6    31    15     0     0
 12:00:58      0   382     6    31    15     0     0
 12:00:59      0   382     6    31    15     0     0
 12:01:00      0   382     6    32    15     0     0
 12:01:01      0   387     6    31    15     0     0
 12:01:02      0   387     6    35    17     0     0
 12:01:03      0   387     6    30    15     0     0
 12:01:04      0   387     6    31    15     0     0
 12:01:05      0   387     6    31    15     0     0
 12:01:06      0   387     6    31    15     0     0
 12:01:07      0   382     6    31    15     0     0
 12:01:08      0   382     6    31    15     0     0
 12:01:09      0   387     6    31    15     0     0
 12:01:10      0   387     6    35    17     0     0
 12:01:11      0   387     6    30    15     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:01:12      0   387     6    30    15     0     0
 12:01:13      0   388     6    31    15     0     0
 12:01:14      0   388     6    43    20     0     0
 12:01:15      0   387     6    22    10     0     0
 12:01:16      0   387     6    27    13     0     0
 12:01:17      0   387     6    30    15     0     0
 12:01:18      0   387     6    31    15     0     0
 12:01:19      0   385     6    31    15     0     0
 12:01:20      0   376     6    31    15     0     0
 12:01:21      0   375     6    32    15     0     0
 12:01:22      0   375     6    31    15     0     0
 12:01:23      0   375     6    31    15     0     0
 12:01:24      0   375     6    32    15     0     0
 12:01:25      0   375     6    32    15     0     0
 12:01:26      0   375     6    32    15     0     0
 12:01:27      0   375     6    31    15     0     0
 12:01:28      0   375     6    32    15     0     0
 12:01:29      0   375     6    32    15     0     0
 12:01:30      0   375     6    31    15     0     0
 12:01:31      0   375     6    32    15     0     0
 12:01:32      0   375     6    32    15     0     0
 12:01:33      0   375     6    32    15     0     0
 12:01:34      0   375     6    32    15     0     0
 12:01:35      0   375     6    31    15     0     0
 12:01:36      0   375     6    31    15     0     0
 12:01:37      0   375     6    31    15     0     0
 12:01:38      0   375     6    32    15     0     0
 12:01:39      0   375     6    32    15     0     0
 12:01:40      0   375     6    32    15     0     0
 12:01:41      0   375     6    32    15     0     0
 12:01:42      0   375     6    32    15     0     0
 12:01:43      0   375     6    33    15     0     0
 12:01:44      0   375     6    32    15     0     0
 12:01:45      0   375     6    31    15     0     0
 12:01:46      0   375     6    32    15     0     0
 12:01:47      0   375     6    32    15     0     0
 12:01:48      0   375     6    32    15     0     0
 12:01:49      0   375     6    32    15     0     0
 12:01:50      0   375     6    31    15     0     0
 12:01:51      0   375     6    32    15     0     0
 12:01:52      0   375     6    33    15     0     0
 12:01:53      0   375     6    32    15     0     0
 12:01:54      0   375     6    31    15     0     0
 12:01:55      0   375     6    32    15     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:01:56      0   375     6    32    15     0     0
 12:01:57      0   399     6    33    15     0     0
 12:01:58      0   399     6    44    21     0     0
 12:01:59      0   399     6    23    10     0     0
 12:02:00      0   399     6    29    13     0     0
 12:02:01      0   399     6    30    12     0     0
 12:02:02      0   399     6    23    10     0     0
 12:02:03      0   399     6    33    14     0     0
 12:02:04      0   399     6    23    10     0     0
 12:02:05      0   404     6    36    16     0     0
 12:02:06      0   404     6    30    15     0     0
 12:02:07      0   395     6    30    15     0     0
 12:02:08      0   395     6    31    15     0     0
 12:02:09      0   395     6    31    15     0     0
 12:02:10      0   385     6    31    15     0     0
 12:02:11      0   385     6    32    15     0     0
 12:02:12      0   385     6    32    15     0     0
 12:02:13      0   385     6    33    15     0     0
